Câu hỏi,LOẠI,DATASET
WTO là viết tắt của tổ chức gì?,ABBR.exp,TRAIN
UNICEF là viết tắt của tổ chức gì?,ABBR.exp,TRAIN
LOL là viết tắt của game nào?,ABBR.exp,TRAIN
Tp.HCM là viết tắt của địa điểm nào?,ABBR.exp,TRAIN
Tên của nhóm nhạc EXO là viết tắt của những chữ gì?,ABBR.exp,TRAIN
Ag là viết tắt của nguyên tố nào?,ABBR.exp,TRAIN
Au là viết tắt của nguyên tố nào?,ABBR.exp,TRAIN
CT là viết tắt của thành phố nào?,ABBR.exp,TRAIN
MTP trong Sơn Tùng MTP là viết tắt của chữ gì?,ABBR.exp,TRAIN
HCMUS là viết tắt của trường đại học nào?,ABBR.exp,TRAIN
Logic là gì?,DESC.def,TRAIN
Cơ sở hạ tầng là gì?,DESC.def,TRAIN
Bưu điện là gì?,DESC.def,TRAIN
Truyền thông đại chúng là gì?,DESC.def,TRAIN
Y tế là gì?,DESC.def,TRAIN
Vướn bách thú là gì?,DESC.def,TRAIN
Lập trình là gì?,DESC.def,TRAIN
Ngôn ngữ lập trình là gì?,DESC.def,TRAIN
Hình dáng con voi như thế nào?,DESC.desc,TRAIN
Cách làm trà sữa ra sao?,DESC.desc,TRAIN
Cách làm bánh bông lan như thế nào?,DESC.desc,TRAIN
Cách xếp hạc giấy như thế nào?,DESC.desc,TRAIN
Chế biến cà phê sao cho ngon?,DESC.desc,TRAIN
Cách thưởng thức trà đạo ra sao?,DESC.desc,TRAIN
Cách chế biến sushi như thế nào?,DESC.desc,TRAIN
Giấm ăn có hại như thế nào?,DESC.desc,TRAIN
Cách sản xuất chao?,DESC.desc,TRAIN
Vì sao lá cây có màu xanh?,DESC.reason,TRAIN
Vì sao nước biển lại mặn?,DESC.reason,TRAIN
Tại sao hoa có màu sắc sặc sỡ?,DESC.reason,TRAIN
Vì sao một số loài nấm lại có độc?,DESC.reason,TRAIN
Vì sao lại có trăng xanh?,DESC.reason,TRAIN
Vì sao có thuỷ triều trên Trái Đất?,DESC.reason,TRAIN
Vì sao có Nhật thực?,DESC.reason,TRAIN
Người ta thường nuôi con gì làm thú cưng?,ENTY,TRAIN
Ngôn ngữ phổ biến nhất thế giới là gì?,ENTY,TRAIN
"Dụng cụ âm nhạc nào còn gọi là ""vĩ cầm""?",ENTY,TRAIN
Từ dừa người ta có thể chế biến thành những thực phẩm nào?,ENTY,TRAIN
Hoa Tulip có màu gì?,ENTY,TRAIN
Đâu là món ăn yêu thích nhất của mèo?,ENTY,TRAIN
Kim Đồng là ai?,HUM.desc,TRAIN
Orange là ai?,HUM.desc,TRAIN
Nguyễn Trãi là ai?,HUM.desc,TRAIN
Katy Perry là ai?,HUM.desc,TRAIN
D.O. là ai?,HUM.desc,TRAIN
Những ai đã là Chủ tịch nước Cộng hoà Xã hội Chủ nghĩa Việt Nam?,HUM.group,TRAIN
Ai là diễn viên chính của phim Fifty Shades of Grey?,HUM.group,TRAIN
Những thành viên nhóm nhạc EXO là ai?,HUM.group,TRAIN
Các nhân vật trong Truyện Kiều là ai?,HUM.group,TRAIN
Các thành viên của St.319 là những ai?,HUM.group,TRAIN
MONSTAR gồm những ca sĩ nào?,HUM.group,TRAIN
Những nhân vật chính trong phim Naruto?,HUM.group,TRAIN
Nhóm nhạc EXID gồm những ai?,HUM.group,TRAIN
Ai là ca sĩ hát bài Style?,HUM.ind,TRAIN
Ai là người xây dựng nên thuyết tương đối?,HUM.ind,TRAIN
"Bài hát ""Ngày chưa giông bão"" do ai sáng tác?",HUM.ind,TRAIN
Quả táo rơi vào đầu ai mà ta có định luật vạn vật hấp dẫn?,HUM.ind,TRAIN
Ai là người Việt Nam đầu tiên bay vào vũ trụ?,HUM.ind,TRAIN
Sư tử sống ở đâu?,LOC,TRAIN
Nơi nào hoa sen có thể sống được?,LOC,TRAIN
Đông trùng hạ thảo có thể tìm được ở đâu?,LOC,TRAIN
Hồng sâm ở đâu là tốt nhất?,LOC,TRAIN
Mì ăn liền xuất hiện đầu tiên ở đâu?,LOC,TRAIN
Nơi nào lạnh nhất trên thế giới?,LOC,TRAIN
Châu lục nào không có sự sống?,LOC,TRAIN
Hoa Tulip trồng nhiều ở đâu?,LOC,TRAIN
Thành phố nào lớn nhất cả nước?,LOC.city,TRAIN
Thành phố trực thuộc Trung ương nào gần Thủ đô nước ta nhất?,LOC.city,TRAIN
Thành phố nổi tiếng nhất của Nhật Bản là gì?,LOC.city,TRAIN
Thành phố nào nổi tiếng nhất nước Mỹ?,LOC.city,TRAIN
Thành phố nào là điểm du lịch nổi tiếng nhất nước ta với khí hậu mát mẻ?,LOC.city,TRAIN
Thành phố nào nổi tiếng với du lịch biển ở nước ta?,LOC.city,TRAIN
Nước nào lớn thứ 3 của Đông Âu?,LOC.country,TRAIN
Hoa sen là quốc hoa của nước nào?,LOC.country,TRAIN
Đảo Hawaii thuộc quốc gia nào?,LOC.country,TRAIN
Quốc gia nào nhỏ nhất thế giới?,LOC.country,TRAIN
Bóng đá hiện đại ra đời ở quốc gia nào?,LOC.country,TRAIN
Trụ sở của Liên Hợp Quốc nằm ở nước nào?,LOC.country,TRAIN
Quốc gia nào phát triển nhất Đông Nam Á?,LOC.country,TRAIN
Tuổi thọ trung bình của con người là bao nhiêu?,NUM,TRAIN
Có bao nhiêu quốc gia và vùng lãnh thổ trên thế giới?,NUM,TRAIN
Có bao nhiêu loài động vật trên thế giới?,NUM,TRAIN
Có bao nhiêu chòm sao thuộc cung hoàng đạo?,NUM,TRAIN
Có bao nhiêu loại hoa Tulip?,NUM,TRAIN
Trung bình một người rụng bao nhiêu sợi tóc mỗi ngày?,NUM,TRAIN
Đại học Quốc gia Thành phố Hồ Chí Minh gồm bao nhiêu trường?,NUM,TRAIN
Bảng chữ cái của tiếng Việt có bao nhiêu chữ cái?,NUM,TRAIN
Có khoảng bao nhiêu sợi tóc trên đầu mỗi người?,NUM,TRAIN
Ngày thành lập Quân đội nhân dân là ngày nào?,NUM.date,TRAIN
Đảng thành lập vào ngày nào?,NUM.date,TRAIN
Cá tháng Tư là ngày mấy?,NUM.date,TRAIN
Những ngày sinh nào thuộc cung hoàng đạo Bạch Dương?,NUM.date,TRAIN
Những ngày sinh nào thuộc cung hoàng đạo Sư Tử?,NUM.date,TRAIN
Ngày Phụ nữ Việt Nam là ngày mấy?,NUM.date,TRAIN
Ngày của cha năm nay là ngày mấy?,NUM.date,TRAIN
Ngày nào mà 4 năm mới có một lần?,NUM.date,TRAIN
Sao Hoả có sự sống không?,SELECT,TRAIN
Trà Vinh có giáp biển hay không?,SELECT,TRAIN
Thanh trà có ngọt không?,SELECT,TRAIN
Lá cây nào cũng có màu xanh phải không?,SELECT,TRAIN
Café có gây nghiện không?,SELECT,TRAIN
Tên viết tắt của Liên Hiệp Quốc là gì?,ABBR.abb,TRAIN
Tên viết tắt của Hội chứng suy giảm miễn dịch mắc phải là gì?,ABBR.abb,TRAIN
Tên viết tắt của Tổ chức Vật liệu & Thử nghiệm Hoa kỳ (xe hơi) là gì?,ABBR.abb,TRAIN
Tên hệ thống bảo vệ & và chẩn đoán điều hòa/máy lạnh (xe hơi) được viết tắt là gì?,ABBR.abb,TRAIN
Hệ thống điều khiển xe tự động được viết tắt là gì?,ABBR.abb,TRAIN
Cơ quan Tình báo Trung ương Hoa Kỳ có tên viết tắt là gì?,ABBR.abb,TRAIN
"Từ viết tắt cho cụm từ ""Ngân hàng Trung ương"" là gì?",ABBR.abb,TRAIN
Tên viết tắt của Học viện Hành chính quốc gia là gì?,ABBR.abb,TRAIN
NHNNo là tên viết tắt của tổ chức nào?,ABBR.exp,TRAIN
Tổ chức nào có tên viết tắt là FBI?,ABBR.exp,TRAIN
Từ NSƯT là viết tắt của cụm từ gì?,ABBR.exp,TRAIN
ĐNÁ là viết tắt của từ gì?,ABBR.exp,TRAIN
LGBT là tên viết tắt của cộng đồng nào?,ABBR.exp,TRAIN
Từ viết tắt O.S.U nghĩa là gì?,ABBR.exp,TRAIN
UNESCO là tên viết tắt của tổ chức nào?,ABBR.exp,TRAIN
IMOAB là viết tắt của tổ chức gì?,ABBR.exp,TRAIN
Định nghĩa của Hồi quy tuyến tính là gì?,DESC.def,TRAIN
Thần thoại là gì?,DESC.def,TRAIN
Chân trời sự kiện là gì?,DESC.def,TRAIN
Nhị thập bát tú là gì?,DESC.def,TRAIN
Định nghĩa của CSS?,DESC.def,TRAIN
Hội chứng stockholm là gì?,DESC.def,TRAIN
Bức xạ Hawking là gì?,DESC.def,TRAIN
Hiện tượng Deja vu là hiện tượng gì?,DESC.def,TRAIN
Cuộc chiến hoa hồng là cuộc chiến gì?,DESC.def,TRAIN
Khổng Tử trông ra sao?,DESC.desc,TRAIN
Đế chế Atlantis được mô tả thế nào?,DESC.desc,TRAIN
"Nguồn gốc của từ ""sở khanh"" là gì?",DESC.desc,TRAIN
Điểm mạnh và điểm yếu của mạng nơ-ron là gì?,DESC.desc,TRAIN
Lịch sử của ngày Nhà giáo Việt Nam là gì?,DESC.desc,TRAIN
Sự khác nhau giữa TCP và UDP là gì?,DESC.desc,TRAIN
Lý do nào mà cô ấy đột nhiên thay đổi giờ họp?,DESC.reason,TRAIN
Nguyên nhân nào dẫn đến hiện tượng triều cường?,DESC.reason,TRAIN
Cớ sao lũ giặc sang xâm phạm?,DESC.reason,TRAIN
Tại vì sao họ có thể lật ngược được ván cờ?,DESC.reason,TRAIN
Cớ gì mà anh lại kiếm chuyện với tôi?,DESC.reason,TRAIN
Nguyên do Đức khơi mào Thế chiến thứ 2 là gì?,DESC.reason,TRAIN
Tại sao nhiều người tin vào Thiên chúa giáo?,DESC.reason,TRAIN
Anh ta phát điên là vì nguyên nhân gì?,DESC.reason,TRAIN
Bác sĩ Watson là ai vậy?,HUM.desc,TRAIN
Nữ hoàng Cleopatra là ai?,HUM.desc,TRAIN
Cô có biết Thomas Edison là ai không?,HUM.desc,TRAIN
Nhân vật Helen trong thần thoại Hy Lạp là ai?,HUM.desc,TRAIN
Leonardo Davinci là ai?,HUM.desc,TRAIN
Odin là ai thế?,HUM.desc,TRAIN
Harry Potter là ai vậy?,HUM.desc,TRAIN
Cô có thể nói cho tôi biết về ngài Sherlock Holmes không?,HUM.desc,TRAIN
Vingroup là tập đoàn kinh doanh về cái gì?,HUM.group,TRAIN
Công ty MTP Entertainment là công ty gì?,HUM.group,TRAIN
UNESCO là tổ chức gì?,HUM.group,TRAIN
Sản phẩm giày Bitis là của công ty nào?,HUM.group,TRAIN
Hội kín Illuminati là gì?,HUM.group,TRAIN
Hội Tam điểm là hội gì?,HUM.group,TRAIN
Tổ chức UNICEF là tổ chức nào?,HUM.group,TRAIN
Ban nhạc The Beatles là gì?,HUM.group,TRAIN
"To be or not to be, that is the question là của nhà văn nào?",HUM.ind,TRAIN
Vị vua nào đã thành lập Hội Tao Đàn?,HUM.ind,TRAIN
Ai là chủ tịch nước đầu tiên của nước ta?,HUM.ind,TRAIN
Giám khảo khoa học của chương trình Siêu Trí Tuệ là ai?,HUM.ind,TRAIN
Ai là kiến trúc sư đã xây dựng Hội trường B?,HUM.ind,TRAIN
Người nào vừa mới gọi tôi đấy?,HUM.ind,TRAIN
"Ai đã sáng tác ra bài hát ""Tiến quân ca""?",HUM.ind,TRAIN
Thành phố nào ở nước ta được mệnh danh là thành phố mộng mơ?,LOC.city,TRAIN
Thành phố ngàn hoa là thành phố nào?,LOC.city,TRAIN
Cậu đến từ thành phố nào thế?,LOC.city,TRAIN
Năm thành phố nào được xếp vào nhóm thành phố trực thuộc trung ương của nước ta?,LOC.city,TRAIN
Thành phố nào lớn nhất Đồng bằng sông Cửu Long?,LOC.city,TRAIN
Thành phố nào được mệnh danh là thành phố không bao giờ ngủ?,LOC.city,TRAIN
"Tên gọi ""Thành phố của những đêm trắng"" là của thành phố nào trên thế giới?",LOC.city,TRAIN
Ở nước Anh,LOC.city,TRAIN
Quốc gia nào trên thế giới xếp hạng một về chỉ số hạnh phúc?,LOC.country,TRAIN
"Đất nước nào có biệt danh là ""Lục địa thứ 8"" của Trái Đất?",LOC.country,TRAIN
Điệu múa Samba nổi tiếng bắt nguồn từ quốc gia nào?,LOC.country,TRAIN
"Nước nào được xem là ""vùng đất của bầu trời xanh""?",LOC.country,TRAIN
Nước nào được biết đến như là xứ sở của bình minh tươi mát?,LOC.country,TRAIN
Đảo quốc nào có tên gọi mỹ miều là hòn đảo ngọc lục bảo?,LOC.country,TRAIN
"Đất nước nào được người ta gọi là ""Vùng đất thi nhân""?",LOC.country,TRAIN
Xứ sở nghìn hồ là tên gọi của quốc gia nào?,LOC.country,TRAIN
Nước nào là nơi khởi nguồn của socola?,LOC.country,TRAIN
Bác Hồ sinh vào ngày tháng năm nào?,NUM.date,TRAIN
Chiến tranh lạnh diễn ra vào thời gian nào?,NUM.date,TRAIN
Kỳ World Cup tiếp theo sẽ được tổ chức khi nào?,NUM.date,TRAIN
Lễ hội Ánh sáng được tổ chức hàng năm vào ngày nào?,NUM.date,TRAIN
Lễ Vu Lan nằm trong tháng nào?,NUM.date,TRAIN
Mỹ ném bom vào thành phố Hiroshima của Nhật Bản vào ngày tháng năm nào?,NUM.date,TRAIN
Ngô Quyền đánh tan quân Nam Hán trên sông Bạch Đằng vào năm nào?,NUM.date,TRAIN
Thế chiến thứ 2 kết thúc vào ngày bao nhiêu?,NUM.date,TRAIN
Trên sao Hỏa có nước hay không?,SELECT,TRAIN
Sao Kim có phải là một ngôi sao hay không?,SELECT,TRAIN
Đúng hay sai nếu ta kết luận rằng không hề có người ngoài hành tinh tồn tại?,SELECT,TRAIN
Nên hay không nếu Việt Nam chọn làm đồng minh với Mỹ hoặc Trung Quốc?,SELECT,TRAIN
Câu trả lời của cậu là đúng hay sai?,SELECT,TRAIN
Tồn tại hay không tồn tại?,SELECT,TRAIN
Loài vật nào được xem là người bạn thân thiết nhất của loài người?,ENTY,TRAIN
Con vật bạn yêu thích nhất là gì?,ENTY,TRAIN
Loài thú nào được coi là có khuôn mặt hèn nhất thế giới động vật?,ENTY,TRAIN
Loài động vật nào có chỉ số thông minh cao sau con người?,ENTY,TRAIN
Theo truyền thuyết,ENTY,TRAIN
Con gì là biểu tượng của cung Bạch Dương?,ENTY,TRAIN
Loài sinh vật nào được mệnh danh là loài động vật chăm chỉ nhất thế giới?,ENTY,TRAIN
Loài thú nào được xem là biểu tượng của đảo quốc Singapore?,ENTY,TRAIN
Loài cây nào là biểu tượng của Madagasca?,ENTY,TRAIN
Loài cây nào gắn với hình ảnh của nước Nga mộng mơ?,ENTY,TRAIN
Loài hoa gì tượng trưng cho tình yêu vĩnh cửu?,ENTY,TRAIN
Tình yêu trẻ thơ là ý nghĩa của loài hoa nào?,ENTY,TRAIN
Cây gì thường được người dân ven biển miền Trung trồng để chống chịu gió bão?,ENTY,TRAIN
Ở các rừng ngập mặn Việt Nam,ENTY,TRAIN
Loài thực vật nào thường được dùng để làm củi dầu?,ENTY,TRAIN
Chuyên thu hút các loại côn trùng chui vào bên trong nó,ENTY,TRAIN
Loài thực vật nào chuyên sống dưới đáy đại dương?,ENTY,TRAIN
Tôn giáo nào thờ nhà tiên tri Muhammad?,ENTY,TRAIN
Tín đồ của tôn giáo nào thờ các vị thần Celtic?,ENTY,TRAIN
Đạo gì có nhiều tín đồ nhất Việt Nam?,ENTY,TRAIN
Không được ăn thịt bò là quy tắc của đạo gì?,ENTY,TRAIN
Bethlehem là thánh địa của đạo nào?,ENTY,TRAIN
Chén Thánh được xem là bảo vật của tôn giáo nào?,ENTY,TRAIN
Đạo nào là có ảnh hưởng lớn đến đạo Phật?,ENTY,TRAIN
"Đạo gì thờ ""Con mắt thứ 3""?",ENTY,TRAIN
7 cuộc Thập tự chinh là cuộc tranh giành quyền lực trong tôn giáo nào?,ENTY,TRAIN
Viết tắt của Liên hợp quốc là gì?,ABBR.abb,TRAIN
Viết tắt của Cộng hoà xã hội chủ nghĩa là gì?,ABBR.abb,TRAIN
Viết tắt của kilogam là gì?,ABBR.abb,TRAIN
Kí hiệu của micro là gì?,ABBR.abb,TRAIN
Kí hiệu của nano là gì?,ABBR.abb,TRAIN
Kí hiệu của oxi là gì?,ABBR.abb,TRAIN
Công thức của axit sunfuric là gì?,ABBR.abb,TRAIN
Công thức của triolein là gì?,ABBR.abb,TRAIN
UBND là viết tắt của gì?,ABBR.exp,TRAIN
NXB là viết tắt của gì?,ABBR.exp,TRAIN
TW là viết tắt của gì?,ABBR.exp,TRAIN
v/v là viết tắt của gì?,ABBR.exp,TRAIN
đ/c là viết tắt của gì?,ABBR.exp,TRAIN
GB là kí hiệu của gì?,ABBR.exp,TRAIN
cm là kí hiệu của gì?,ABBR.exp,TRAIN
Hàm số bậc nhất là gì?,DESC.def,TRAIN
Vector là gì?,DESC.def,TRAIN
Tôn giáo là gì?,DESC.def,TRAIN
Thế nào là động vật có xương sống?,DESC.def,TRAIN
Phân tử là gì?,DESC.def,TRAIN
Hành tinh là gì?,DESC.def,TRAIN
Tàu con thoi là gì?,DESC.def,TRAIN
Bánh mì được làm bằng gì?,DESC.desc,TRAIN
Máy điều hoà hoạt động thế nào?,DESC.desc,TRAIN
Nguồn gốc của ngày Quốc tế Lao động là gì?,DESC.desc,TRAIN
Chiến tranh thế giới thứ hai xảy ra như thế nào?,DESC.desc,TRAIN
Cuộc sống ở thành thị như thế nào?,DESC.desc,TRAIN
Sự khác nhau giữa đàn nguyệt và đàn tì bà là gì?,DESC.desc,TRAIN
Khí hậu ở đường xích đạo như thế nào?,DESC.desc,TRAIN
Tại sao tóc bạc?,DESC.reason,TRAIN
Tại sao trái đất hình tròn?,DESC.reason,TRAIN
Tại sao vùng cực có băng quanh năm?,DESC.reason,TRAIN
Máy kéo dùng để làm gì?,DESC.reason,TRAIN
Điện dùng để làm gì?,DESC.reason,TRAIN
Bệnh máu trắng là do đâu?,DESC.reason,TRAIN
Tại sao bị ung thư phổi?,DESC.reason,TRAIN
Tại sao có sao băng?,DESC.reason,TRAIN
Tại sao con người đi bằng hai chân?,DESC.reason,TRAIN
Tại sao xuất hiện nhật thực?,DESC.reason,TRAIN
Con gì xuất hiện trong tiêu đề phần 1 Biên niên sử Narnia?,ENTY,TRAIN
Loài nào là loài động vật ăn thịt trên cạn có số lượng lớn nhất?,ENTY,TRAIN
Cá heo thuộc lớp nào?,ENTY,TRAIN
Máu ở người có màu gì?,ENTY,TRAIN
Nhóm thực vật nào lớn nhất trong bộ Hoà thảo?,ENTY,TRAIN
"Môn thể thao nào được mệnh danh là ""môn thể thao vua""?",ENTY,TRAIN
Kênh nào là kênh truyền hình Thanh thiếu niên của Đài Truyền hình Việt Nam?,ENTY,TRAIN
phenolphthalein vào axit có màu gì?,ENTY,TRAIN
Hồ Chí Minh là ai?,HUM.desc,TRAIN
Ngô Bảo Châu là ai?,HUM.desc,TRAIN
Hồ Xuân Hương là ai?,HUM.desc,TRAIN
Oda Eiichiro là ai?,HUM.desc,TRAIN
Harry Potter là ai?,HUM.desc,TRAIN
Troye Sivan là ai?,HUM.desc,TRAIN
Những ai lên mặt trăng đầu tiên?,HUM.group,TRAIN
UNICEF là tổ chức gì?,HUM.group,TRAIN
Big Bang là nhóm nhạc thế nào?,HUM.group,TRAIN
XOXO là album đầu tiên của nhóm nhạc nam nào?,HUM.group,TRAIN
Đảng Cộng sản Việt Nam là tổ chức gì?,HUM.group,TRAIN
WWF là tổ chức gì?,HUM.group,TRAIN
Ai là người phát minh ra bóng đèn điện?,HUM.ind,TRAIN
Ai phát hiện ra châu Mỹ?,HUM.ind,TRAIN
Ai phát động phong trào Đông Du?,HUM.ind,TRAIN
Ai là giám đốc đầu tiên của bệnh viện Thống Nhất?,HUM.ind,TRAIN
Ai là giám đốc hiện tại Đại học Quốc gia Thành phố Hồ Chí Minh?,HUM.ind,TRAIN
Ca sĩ nào phát hành album Blue Neighborhood?,HUM.ind,TRAIN
Ai là nhóm trưởng nhóm nhạc EXO?,HUM.ind,TRAIN
Diễn viên nào đóng vai nam chính phim Vincenzo?,HUM.ind,TRAIN
Ai là đạo diễn phim Phong thần bảng?,HUM.ind,TRAIN
Ngọn núi nào cao nhất Việt Nam?,LOC,TRAIN
Thủ đô Việt Nam ở đâu?,LOC,TRAIN
Việt Nam giáp biển Đông về phía nào?,LOC,TRAIN
Những mạch chứa kim cương thường được tìm thấy ở đâu?,LOC,TRAIN
Cá mập sống ở đâu?,LOC,TRAIN
Các dân tộc thiểu số thường sống ở khu vực nào?,LOC,TRAIN
Chim cánh cụt có nguồn gốc ở đâu?,LOC,TRAIN
Tỉnh Quảng Ninh có di sản thế giới nào?,LOC,TRAIN
Thành phố nào lớn nhất Việt Nam về dân số?,LOC.city,TRAIN
Thành phố nào có diện tích lớn nhất Việt Nam?,LOC.city,TRAIN
Thành phố nào là trung tâm khu vực miền Trung - Tây Nguyên?,LOC.city,TRAIN
Phim Chú voi biết bay lấy bối cảnh thành phố nào?,LOC.city,TRAIN
Thành phố nào thuộc Thành phố Hồ Chí Minh?,LOC.city,TRAIN
Thành phố nào từng là kinh đô dưới triều Tây Sơn?,LOC.city,TRAIN
Thành phố nào ở miền Tây Nam Bộ trực thuộc trung ương?,LOC.city,TRAIN
Thành phố nào có diện tích lớn nhất thế giới?,LOC.city,TRAIN
SEA Games 2019 tổ chức ở nước nào?,LOC.country,TRAIN
Anh đào tồn tại như biểu tượng là quốc hoa của nước nào?,LOC.country,TRAIN
K-pop là làn sóng của nước nào?,LOC.country,TRAIN
Aoyama Gosho là người nước nào?,LOC.country,TRAIN
One Piece là truyện tranh của nước nào?,LOC.country,TRAIN
Nước nào mệnh danh là Đất nước Mặt Trời mọc?,LOC.country,TRAIN
Đảo Java thuộc nước nào?,LOC.country,TRAIN
Nước nào có diện tích lớn nhất?,LOC.country,TRAIN
Ngành động vật có xương sống có bao nhiêu lớp?,NUM,TRAIN
Giới động vật có mấy bộ?,NUM,TRAIN
Vòng đời của muỗi bao lâu?,NUM,TRAIN
Có bao nhiêu nguyên tố hoá học đã được xác nhận?,NUM,TRAIN
Có bao nhiêu con giáp?,NUM,TRAIN
Nhiệm kì mỗi khoá Quốc hội kéo dài mấy năm?,NUM,TRAIN
Thế vận hội Mùa hè 2021 diễn ra ngày nào?,NUM.date,TRAIN
Ngày Quốc khánh Việt Nam vào ngày nào?,NUM.date,TRAIN
Ngày Quốc tế Thiếu nhi là ngày nào?,NUM.date,TRAIN
Ngày Nhà giáo Việt Nam là ngày nào?,NUM.date,TRAIN
Ngày Giải phóng hoàn toàn miền Nam là ngày nào?,NUM.date,TRAIN
Giáng sinh diễn ra thời gian nào?,NUM.date,TRAIN
Sao Hoả có mưa hay không?,SELECT,TRAIN
Dơi có phải là động vật có xương sống không?,SELECT,TRAIN
Con người có phải tiến hoá từ khỉ không?,SELECT,TRAIN
Người Việt Nam có phải da vàng không?,SELECT,TRAIN
Truyện tranh có phải xuất hiện lần đầu tiên ở Nhật Bản không?,SELECT,TRAIN
Axit sunfuric có phản ứng hoá học với natri hidroxit không?,SELECT,TRAIN
Người ngoài hành tinh có tồn tại không?,SELECT,TRAIN
Thực dân Pháp có từng xâm lược Việt Nam không?,SELECT,TRAIN
Có nên thức khuya không?,SELECT,TRAIN
Viết tắt của Cộng hòa Xã hội Chủ nghĩa Việt Nam là gì?,ABBR.abb,TRAIN
Viết tắt của Câu Lạc Bộ là gì?,ABBR.abb,TRAIN
Hợp Tác Xã còn được viết tắt là gì?,ABBR.abb,TRAIN
Ban Tổ Chức có thể rút gọn như thế nào?,ABBR.abb,TRAIN
Viết tắt của Liên Hiệp Quốc là gì?,ABBR.abb,TRAIN
Trung Học Cơ Sở có thể viết tắt như thế nào?,ABBR.abb,TRAIN
Viết tắt của Trung Học Phổ Thông là gì?,ABBR.abb,TRAIN
Viết tắt của Ủy Ban Nhân Dân là gì?,ABBR.abb,TRAIN
BTC là viết tắt của gì?,ABBR.exp,TRAIN
SNES là tên rút gọn của gì?,ABBR.exp,TRAIN
Tên đầy đủ của CHXHCNVN là gì?,ABBR.exp,TRAIN
NXB là gì?,ABBR.exp,TRAIN
CLB là viết tắt của chữ gì?,ABBR.exp,TRAIN
HTX tên đầy đủ là gì?,ABBR.exp,TRAIN
THCS là viết tắt của gì?,ABBR.exp,TRAIN
THPT là viết tắt của gì?,ABBR.exp,TRAIN
Danh pháp là gì?,DESC.def,TRAIN
Nhiễm sắc thể là gì?,DESC.def,TRAIN
Ký sinh trùng là gì?,DESC.def,TRAIN
Trao đổi chất là gì?,DESC.def,TRAIN
Thảo nguyên được định nghĩa như thế nào?,DESC.def,TRAIN
Bán hoang mạc được định nghĩa như thế nào?,DESC.def,TRAIN
Nền văn minh Ai Cập cổ đại là gì?,DESC.def,TRAIN
Bưu thiếp là gì,DESC.def,TRAIN
Nguồn gốc của Nhà thờ Thánh Micae từ đâu?,DESC.desc,TRAIN
Mitsubishi Ki-51 là máy bay của nước nào?,DESC.desc,TRAIN
Lực lượng Đồng Minh trong thế chiến thứ 2 gồm những nước nào?,DESC.desc,TRAIN
Những ngôi sao trên quốc kì Hoa Kì tượng trưng cho gì?,DESC.desc,TRAIN
Nguồn gốc của món Phở bắt đầu từ đâu?,DESC.desc,TRAIN
Thành trùng là gì?,DESC.desc,TRAIN
Tán trật đại thần là chức danh gì?,DESC.desc,TRAIN
Tại sao quốc kì Việt Nam có ngôi sao 5 cánh?,DESC.reason,TRAIN
Tại sao cây bị héo khi trời nắng?,DESC.reason,TRAIN
Tại sao lũ lụt thường xảy ra ở miền Trung?,DESC.reason,TRAIN
Tại sao cỏ có màu xanh?,DESC.reason,TRAIN
Tại sao gỗ không dẫn điện?,DESC.reason,TRAIN
Tại sao lại gọi không khí là chất cách nhiệt tốt?,DESC.reason,TRAIN
Tại sao lốc xoáy hình thành?,DESC.reason,TRAIN
Tại sao ta cần đội mũ bảo hiểm khi chạy xe máy?,DESC.reason,TRAIN
Kỷ nguyên nào đi sau thời kì Đồ Đồng?,ENTY,TRAIN
Ngôn ngữ chính thức của nước CHXHCNVN là gì?,ENTY,TRAIN
Bóng tennis màu gì?,ENTY,TRAIN
"Con gì được gọi là ""tiểu hổ""?",ENTY,TRAIN
Loài hoa chính thức của Việt Nam là hoa gì?,ENTY,TRAIN
Chim gì không biết bay?,ENTY,TRAIN
Loại cây gì thường được trồng ở vùng rừng ngập mặn?,ENTY,TRAIN
Hình có bốn cạnh có độ dài bằng nhau gọi là hình gì?,ENTY,TRAIN
Hình có bốn cạnh vuông góc và có độ dài bằng nhau gọi là hình gì?,ENTY,TRAIN
Bác Hồ là ai?,HUM.desc,TRAIN
Tập Cận Bình là ai?,HUM.desc,TRAIN
Donald Trump là ai?,HUM.desc,TRAIN
Adolf Hitler là ai?,HUM.desc,TRAIN
Stalin là ai?,HUM.desc,TRAIN
Mao Trạch Đông là ai?,HUM.desc,TRAIN
Charlie Puth là ai?,HUM.desc,TRAIN
Jennie Kim là ai?,HUM.desc,TRAIN
Camillia Cabello là ai?,HUM.desc,TRAIN
Mark Zuckeberg là ai?,HUM.desc,TRAIN
Có những ISP nào hoạt động ở Việt Nam?,HUM.group,TRAIN
Công ty nào có logo là quả táo cắn dở?,HUM.group,TRAIN
Công ty nào sản xuất xe hơi điện đầu tiên ở Việt Nam?,HUM.group,TRAIN
Dân tộc đông nhất Việt Nam là dân tộc nào?,HUM.group,TRAIN
Công ty công nghệ nào có giá trị lớn nhất thế giới?,HUM.group,TRAIN
Công ty Nhật nào vừa sản xuất xe máy vừa sản xuất nhạc cụ?,HUM.group,TRAIN
Ngân hàng lớn nhất Việt Nam là ngân hàng nào?,HUM.group,TRAIN
Việt Nam là thành viên trong tổ chức thương mại lớn nhất thế giới nào?,HUM.group,TRAIN
